reward,episode_length,success,final_x,final_y,mean_abs_action
-303.1750977334666,149,0,-1.0060070753097534,0.261923223733902,0.5134721524613416
-323.30023196128667,89,0,1.0035638809204102,1.0857207775115967,0.46245457533370243
-248.44046045575575,119,0,-1.0038363933563232,0.15274372696876526,0.515773404295705
-180.60030413780683,126,0,0.6015033721923828,-0.3158263862133026,0.5188682537585024
-152.67578447337547,124,0,0.6958330273628235,0.0045987460762262344,0.49547177730428593
-362.4889631353079,129,0,-1.0064207315444946,0.910603940486908,0.5243085526009343
-348.63432562138337,200,0,-1.0085086822509766,0.013065729290246964,0.5025074240006506
-268.61459821641006,108,0,1.005419135093689,-0.15365387499332428,0.5117461411627354
-68.65691272802087,81,0,-0.2842482030391693,0.036764368414878845,0.49984817455212277
-59.093155939591156,77,0,-0.17852087318897247,-0.032621268182992935,0.5135606170281187
-262.73733885559847,96,0,1.0118882656097412,0.42375534772872925,0.5153434011929979
-68.06627710864936,105,0,-0.3494633734226227,-0.015210512094199657,0.4639720301897753
-366.64692062150266,95,0,-0.7379748225212097,0.17415569722652435,0.5122438162565232
-408.2543769985444,94,0,0.7079609036445618,0.14234434068202972,0.5025023714976108
-52.49818804457276,99,0,-0.09199962764978409,-0.03887392580509186,0.4778316840529442
-29.019524103868463,79,0,0.1236792579293251,-0.04280271753668785,0.5321939578161964
-339.71881145747216,145,0,-0.609287440776825,-0.015307750552892685,0.5094906039535999
-365.64757185713466,107,0,0.5995928049087524,0.06946693360805511,0.4825202125847061
-67.04683778591584,94,0,-0.45896998047828674,-0.11165083944797516,0.48170226194123006
-379.74243825517766,113,0,-0.934656023979187,0.16501902043819427,0.51172652972483
-203.8636160964739,111,0,0.613476574420929,-0.08182710409164429,0.530275997546342
-91.48083599916644,137,0,-0.7436873912811279,-0.038545336574316025,0.4978512632286679
-172.47468934107582,80,0,0.848720371723175,0.16667212545871735,0.46659976853989066
-53.73909876920117,78,0,-0.3360649645328522,0.07873865216970444,0.5000182402153046
-287.10970575395856,95,0,-1.0044760704040527,-0.17302550375461578,0.4700878044100184
-367.79427411343767,84,0,1.0183382034301758,1.0343897342681885,0.5202147738032398
-191.35644459878696,108,0,-1.0015008449554443,-0.1801718771457672,0.48538540748672354
-283.28013534843717,89,0,1.0046888589859009,1.3497881889343262,0.49301397524188073
-474.1255926680688,160,0,-0.8639141917228699,-0.08295284956693649,0.5034572905628011
-360.39967835512095,131,0,1.004235029220581,0.5451024770736694,0.4864335481276494
-333.7743693393744,132,0,1.0130409002304077,0.5558587908744812,0.4834985995495861
-415.92851725895713,151,0,-0.9538739919662476,-0.1838601678609848,0.5081053105929237
-151.73883784540217,101,0,0.6859806180000305,-0.28081995248794556,0.52642973910759
-28.236338434327195,84,0,0.6407173275947571,-0.20152290165424347,0.5321133057808592
-112.17845562356761,140,0,0.7730680704116821,-0.2548445761203766,0.5184282357139247
-38.12094900950698,74,0,-0.18798570334911346,-0.04241250827908516,0.5186019255905538
-101.16226275938781,109,0,-0.7783401012420654,0.4117382764816284,0.5340406414155566
-285.53614381426723,109,0,-1.0079190731048584,-0.09687501192092896,0.4814631945086182
-82.74464447981629,75,0,-0.05600395053625107,-0.017353596165776253,0.5164957388242086
-350.941734612113,85,0,1.0016257762908936,1.2237848043441772,0.483294598495259
-281.6135699217638,130,0,0.7663568258285522,0.07344933599233627,0.5013438135098952
-73.99392704266484,77,0,0.35744744539260864,0.005958304274827242,0.4947891301148898
-65.57380552329215,91,0,-0.18648061156272888,-0.032351184636354446,0.47498227262889947
-438.22282930998534,179,0,1.0024585723876953,0.2520958185195923,0.49189424521014014
-260.8087673753351,105,0,1.002171516418457,-0.04639022424817085,0.49566498540696646
-165.20040476898407,66,0,0.5119549036026001,0.04915982112288475,0.5336645572926059
-180.45758575533182,178,0,0.8079875707626343,-0.13991205394268036,0.487730872974302
-103.88168363658629,87,0,-0.07835350185632706,-0.010368230752646923,0.5254906575227606
