episode_return,episode_length,quality_flag
-129.764275,200,1
-131.479525,200,1
-115.021513,200,1
-239.819956,200,1
-117.993996,200,1
-119.346145,200,1
-125.624837,200,1
-118.393936,200,1
-116.883415,200,1
-236.258908,200,1
-223.291534,200,1
-223.945944,200,1
-120.844536,200,1
-250.428757,200,1
-120.324561,200,1
-125.725699,200,1
-127.666724,200,1
-128.554741,200,1
-234.526141,200,1
-116.004283,200,1
-126.164944,200,1
-120.534247,200,1
-127.567571,200,1
-117.521262,200,1
-116.891207,200,1
-119.124354,200,1
-117.242374,200,1
-1.057631,200,1
-238.418381,200,1
-233.946093,200,1
-0.703708,200,1
