episode_return,episode_length,quality_flag
-218.001795,200,1
-361.62886,200,0
-115.761423,200,1
-0.423151,200,1
-117.611189,200,1
-119.400324,200,1
-128.613929,200,1
-119.050338,200,1
-253.479478,200,1
-354.525328,200,0
-115.060642,200,1
-254.355263,200,1
-240.631897,200,1
-353.96016,200,0
-242.98907,200,1
-125.108504,200,1
-274.161647,200,1
-253.19685,200,1
-119.378326,200,1
-127.793329,200,1
-124.71334,200,1
-129.083389,200,1
-0.174548,200,1
-122.459489,200,1
-313.454578,200,0
-236.805298,200,1
-382.67901,200,0
-1.294686,200,1
-240.372741,200,1
-128.876161,200,1
-116.813099,200,1
-129.131992,200,1
-118.882343,200,1
-4.72706,200,1
-259.595825,200,1
-230.060524,200,1
-5.951399,200,1
-221.495036,200,1
-5.374521,200,1
-247.793509,200,1
-121.706237,200,1
-254.955184,200,1
-117.461417,200,1
-122.416814,200,1
-127.724025,200,1
-118.952804,200,1
-0.667482,200,1
-1.073282,200,1
-115.353779,200,1
-120.361257,200,1
-225.561407,200,1
-122.745479,200,1
-7.803319,200,1
-248.994478,200,1
-4.276568,200,1
-237.852929,200,1
-248.294184,200,1
-119.489881,200,1
-126.075971,200,1
