reward,episode_length,success,final_tip_height,final_theta1_error,final_theta2_error
-1947.1316384992151,600,0,-1.87062455834339,2.860252053998703,0.7089964333699665
-1951.4100863814906,600,0,-1.9355433545829184,2.7929504581009574,0.25593667144943066
-2011.6906546810249,600,0,-1.118691363833435,2.120584928887353,1.9530639997321728
-2033.3987285772714,600,0,-1.9079338138112207,2.742360048894657,0.23518446196382972
-1663.1416540599967,600,0,-0.7553064233830302,2.886916985556435,1.5301905406001053
-1999.8542173201927,600,0,-1.381897035945736,2.9098172108484253,1.381611653452676
-1994.9307960687647,600,0,-1.9943243149832401,3.0425583527422786,0.05964151728884548
-1982.9889689690374,600,0,-1.1340768683920013,2.313538782131439,0.2672613047469677
-1742.4710032018702,600,0,-0.4357006571398511,1.7193574654281196,0.14324803253154172
-1940.5431164953197,600,0,-0.5361722273448555,2.6866868630176413,2.396254307040446
-1828.136879111465,600,0,-0.20486064078652189,2.9907384551183873,2.3206752689802896
-1892.520088864215,600,0,-1.7279478599715066,2.4537591623613797,0.9878737445363617
-1987.2062744187085,600,0,-1.8518784533209143,2.736197345960524,0.037070705612626376
-1961.3419747810697,600,0,-1.6756641989969099,2.8219782606402988,1.0774759777936609
-1951.800095288096,600,0,-1.600311985824402,3.0755820536732004,0.9901898037145123
-1955.8267616437347,600,0,0.08066631188574769,2.6032805653403006,2.953662769723555
-2029.4304365482378,600,0,-1.5691769654816254,2.1794982887832335,0.8896067354077835
-2002.730031014351,600,0,-1.982171273267226,3.098017570468505,0.22757064873374833
-1943.8219437330781,600,0,-1.1693970941877847,2.696395773589368,1.7458481920943096
-2022.8630929906296,600,0,-0.9564967446492513,2.3888825471617783,2.0948615590791424
-1859.5832954028936,600,0,-0.3990855788624255,2.4796357690115296,1.3091510594678146
-1923.8396879778734,600,0,-1.4309201425319023,2.4671528599524786,0.1889520422824026
-1942.3221493759959,600,0,0.008752188321407783,2.958586082360662,2.832432385095067
-1893.193707808803,600,0,0.0001745600772814493,2.9748827226828616,2.8092280554272007
-1809.8606809615967,600,0,-0.0922183366230607,1.5374871405284996,3.0490485059538903
-1862.2944569716835,600,0,0.19217298255730753,2.3798861532357702,1.9666655189630897
-1997.0942900898322,600,0,-1.5567920601476724,2.8336747612325963,0.614586964421062
-2028.5646236009475,600,0,-1.780478204218059,2.992205476597147,0.5079603395632114
-1900.0731065794926,600,0,-1.259915176435824,2.2615782899672556,1.7785260660895492
-1889.9052609970452,600,0,-1.864740850445056,2.786134511995025,0.7392440688714332
-1926.8241371823435,600,0,-0.28318165770034354,2.704119041984675,1.8054387705515544
-1904.8922873006463,600,0,-0.8907796848835629,2.8520369762477342,1.3488833723822653
-2030.1027234167873,600,0,-1.6995409094623555,2.929434520774511,0.552004291986255
-1961.7768472496564,600,0,-1.0962965745251876,2.721587762866199,1.8065508627198876
-1828.9521028216554,600,0,-1.5872220638313586,2.282469556198871,0.49411337993169246
-1834.2363463048157,600,0,-1.28081503613583,2.543213286802962,1.6972914332936178
-2033.5621910667066,600,0,-1.947778741610549,3.041103771040242,0.20790104416044397
-1951.4825627554499,600,0,-1.2012181337895926,2.802562281288904,0.9706689271993677
-2003.5790265209985,600,0,-1.9697604735691172,3.1198437126411327,0.2673269117786346
-2017.7546119192978,600,0,-1.4735410684964299,2.1513660273916013,1.3798802636792362
-1952.3578648319804,600,0,-0.5835974363255928,2.276289201877421,0.7703500290931901
-1984.7391114586408,600,0,-1.973761523120817,3.1250782931132766,0.2454967547496786
-1953.5205986687633,600,0,-1.8300889164706422,2.869246401044859,0.7940999031480409
-1885.007242521761,600,0,0.0037253325691960493,3.051983936271104,3.0280316313546813
-2015.733013661297,600,0,-1.2812358200909764,3.14066008530259,1.2847816414560447
-1850.6967257153576,600,0,-1.6267207188524546,2.84391495259419,1.1333212000010793
-1963.966447517533,600,0,-1.8242519310205916,2.9617322285048373,0.39294593549862733
-1931.804576542621,600,0,-0.44354119565345107,2.913119274753403,1.9014803333836694
-1911.3417536152208,600,0,-1.835835087384274,2.6508793241596544,0.7957425929469903
-1945.363736564706,600,0,0.4879384164746049,1.7985614990488248,1.0225878188684367
-1948.4503149096179,600,0,-1.7284430843984935,2.4014376054617674,0.5991772767064608
-1940.2650533691515,600,0,-1.2474178921773582,1.9750879467979212,1.7135786085823783
-2044.3246812089837,600,0,-1.9607720366410137,3.0819437426723844,0.33418707350405935
-1878.6717677737633,600,0,-0.7847860354049203,3.109528224760369,1.8192453555844763
