episode_return,episode_length,success
147.77407836914062,1600,0
144.36883544921875,1600,0
135.93984985351562,1600,0
145.9084014892578,1600,0
139.2276153564453,1600,0
149.07211303710938,1600,0
139.9351348876953,1600,0
163.9429931640625,1600,0
154.72560119628906,1600,0
143.01820373535156,1600,0
155.28517150878906,1600,0
139.38783264160156,1600,0
144.43260192871094,1600,0
137.1712646484375,1600,0
149.2674102783203,1600,0
157.76919555664062,1600,0
157.28233337402344,1600,0
157.92727661132812,1600,0
152.52377319335938,1600,0
167.3495330810547,1600,0
147.52369689941406,1600,0
144.3912353515625,1600,0
161.46315002441406,1600,0
164.97982788085938,1600,0
155.53262329101562,1600,0
-84.91060638427734,238,0
155.78871154785156,1600,0
162.80007934570312,1600,0
-90.65645599365234,321,0
156.41310119628906,1600,0
152.0703125,1600,0
166.87071228027344,1600,0
165.50038146972656,1600,0
136.4041748046875,1600,0
160.472412109375,1600,0
172.4779510498047,1600,0
153.512939453125,1600,0
-59.539085388183594,436,0
145.21658325195312,1600,0
-55.58645248413086,536,0
158.2178497314453,1600,0
179.90821838378906,1600,0
175.38412475585938,1600,0
172.07664489746094,1600,0
172.2952423095703,1600,0
159.0218505859375,1600,0
164.4920654296875,1600,0
-129.27609252929688,187,0
174.43003845214844,1600,0
184.373046875,1600,0
162.86241149902344,1600,0
-97.1094970703125,129,0
162.30714416503906,1600,0
177.45497131347656,1600,0
174.92637634277344,1600,0
176.13595581054688,1600,0
192.83169555664062,1600,0
176.9635467529297,1600,0
191.3711395263672,1600,0
23.60527801513672,1431,0
189.98875427246094,1600,0
175.4385986328125,1600,0
161.63949584960938,1600,0
-7.027435302734375,896,0
174.25161743164062,1600,0
181.59425354003906,1600,0
178.44439697265625,1600,0
138.78125,1600,0
-82.70833587646484,569,0
185.05319213867188,1600,0
176.252685546875,1600,0
-70.09898376464844,414,0
181.5024871826172,1600,0
175.28964233398438,1600,0
-83.57347869873047,274,0
-21.736801147460938,794,0
-92.46174621582031,376,0
173.54995727539062,1600,0
194.41734313964844,1600,0
187.64022827148438,1600,0
186.04052734375,1600,0
193.22384643554688,1600,0
183.5369873046875,1600,0
184.13133239746094,1600,0
198.02540588378906,1600,0
184.8722686767578,1600,0
177.5900115966797,1600,0
172.797607421875,1600,0
200.9026641845703,1600,1
179.39300537109375,1600,0
195.47813415527344,1600,0
169.14212036132812,1600,0
194.13076782226562,1600,0
187.00303649902344,1600,0
182.05270385742188,1600,0
177.1793670654297,1600,0
199.28921508789062,1600,0
197.0052490234375,1600,0
170.35691833496094,1600,0
-94.9174575805664,108,0
177.00575256347656,1600,0
196.3992156982422,1600,0
-2.7956695556640625,836,0
171.42906188964844,1600,0
197.98800659179688,1600,0
198.9535369873047,1600,0
38.23728942871094,1210,0
179.78976440429688,1600,0
194.43357849121094,1600,0
197.65296936035156,1600,0
194.97457885742188,1600,0
192.06295776367188,1600,0
-79.16160583496094,248,0
202.59170532226562,1600,1
181.68846130371094,1600,0
193.4549560546875,1600,0
-95.24992370605469,151,0
188.656005859375,1600,0
-95.26949310302734,143,0
190.61178588867188,1600,0
-97.02619934082031,101,0
183.34671020507812,1600,0
212.4859619140625,1600,1
200.45594787597656,1600,1
-17.483612060546875,720,0
206.18020629882812,1600,1
167.86163330078125,1600,0
-13.945144653320312,841,0
-98.70699310302734,143,0
216.10475158691406,1600,1
198.87615966796875,1600,0
202.30245971679688,1600,1
193.73403930664062,1600,0
161.61610412597656,1600,0
177.7505340576172,1600,0
213.09063720703125,1600,1
213.69131469726562,1600,1
187.3484649658203,1600,0
198.60427856445312,1600,0
-30.078720092773438,661,0
49.79661560058594,1389,0
196.61265563964844,1600,0
194.55581665039062,1600,0
-18.322097778320312,662,0
193.3489227294922,1600,0
-76.27822875976562,272,0
207.5793914794922,1600,1
202.77700805664062,1600,1
200.7028350830078,1600,1
216.13217163085938,1600,1
193.28465270996094,1600,0
209.23477172851562,1600,1
208.4797821044922,1600,1
192.17938232421875,1600,0
218.6727294921875,1600,1
207.0753173828125,1600,1
-51.95768737792969,404,0
190.66217041015625,1600,0
203.03878784179688,1600,1
201.28182983398438,1600,1
191.0134735107422,1600,0
59.7298583984375,1377,0
71.35366821289062,1469,0
-47.39442825317383,446,0
197.28347778320312,1600,0
210.345947265625,1600,1
206.1232452392578,1600,1
183.1488800048828,1600,0
224.3415985107422,1600,1
206.99615478515625,1600,1
200.64622497558594,1600,1
209.15269470214844,1600,1
221.2125244140625,1600,1
191.93247985839844,1600,0
200.93893432617188,1600,1
212.63816833496094,1600,1
198.20474243164062,1600,0
67.649169921875,1478,0
219.61737060546875,1600,1
206.3829803466797,1600,1
223.16851806640625,1600,1
212.13031005859375,1600,1
202.27610778808594,1600,1
202.46356201171875,1600,1
172.74542236328125,1600,0
197.16551208496094,1600,0
193.68865966796875,1600,0
185.48968505859375,1600,0
214.87680053710938,1600,1
208.95602416992188,1600,1
212.4739227294922,1600,1
215.64401245117188,1600,1
204.3138427734375,1600,1
198.73092651367188,1600,0
206.42845153808594,1600,1
192.93634033203125,1600,0
77.28038024902344,1488,0
196.92771911621094,1600,0
