episode_return,episode_length,episode_success,final_position
-200.0,200,0,-0.47769129276275635
-200.0,200,0,-0.5890999436378479
-200.0,200,0,-0.47673821449279785
-200.0,200,0,-0.591529905796051
-200.0,200,0,-0.42317086458206177
-200.0,200,0,-0.4580843448638916
-200.0,200,0,-0.5653744339942932
-200.0,200,0,-0.5816558003425598
-200.0,200,0,-0.5632933378219604
-200.0,200,0,-0.4039945602416992
-200.0,200,0,-0.5082878470420837
-200.0,200,0,-0.4431838095188141
-200.0,200,0,-0.47271832823753357
-200.0,200,0,-0.48551738262176514
-200.0,200,0,-0.5709739327430725
-200.0,200,0,-0.410795122385025
-200.0,200,0,-0.539731502532959
-200.0,200,0,-0.4843965470790863
-200.0,200,0,-0.460044801235199
-200.0,200,0,-0.4701533615589142
-200.0,200,0,-0.41188111901283264
-200.0,200,0,-0.5703122019767761
-200.0,200,0,-0.4983294606208801
-200.0,200,0,-0.5191931128501892
-200.0,200,0,-0.505166232585907
-200.0,200,0,-0.576156497001648
-200.0,200,0,-0.5731810927391052
-200.0,200,0,-0.5443848967552185
-200.0,200,0,-0.5390591025352478
-200.0,200,0,-0.5144193768501282
-200.0,200,0,-0.47780248522758484
-200.0,200,0,-0.47307416796684265
-200.0,200,0,-0.5176378488540649
-200.0,200,0,-0.5182433724403381
-200.0,200,0,-0.5564742684364319
-200.0,200,0,-0.4823387563228607
-200.0,200,0,-0.5365918278694153
-200.0,200,0,-0.59278804063797
-200.0,200,0,-0.516319990158081
-200.0,200,0,-0.5051734447479248
-200.0,200,0,-0.5548814535140991
-200.0,200,0,-0.48550841212272644
-200.0,200,0,-0.48684561252593994
-200.0,200,0,-0.4595995545387268
-200.0,200,0,-0.4704103171825409
-200.0,200,0,-0.4695133864879608
-200.0,200,0,-0.5367571711540222
-200.0,200,0,-0.4425135552883148
-200.0,200,0,-0.4901711344718933
-168.0,168,0,-0.5137163400650024
-200.0,200,0,-0.4747975170612335
-200.0,200,0,-0.5278685092926025
-200.0,200,0,-0.49745213985443115
-200.0,200,0,-0.45265886187553406
-200.0,200,0,-0.42271941900253296
-200.0,200,0,-0.41578856110572815
-200.0,200,0,-0.499273419380188
-200.0,200,0,-0.4959449768066406
-200.0,200,0,-0.4400259256362915
-200.0,200,0,-0.5371098518371582
-200.0,200,0,-0.4325235188007355
-200.0,200,0,-0.5011716485023499
-200.0,200,0,-0.57682865858078
-158.0,158,0,-0.5855881571769714
-200.0,200,0,-0.431601345539093
-200.0,200,0,-0.5888864398002625
-200.0,200,0,-0.5438777208328247
-200.0,200,0,-0.5331739783287048
-200.0,200,0,-0.5654011368751526
-200.0,200,0,-0.5372213125228882
-200.0,200,0,-0.4514614939689636
-200.0,200,0,-0.597063422203064
-200.0,200,0,-0.43456530570983887
-200.0,200,0,-0.4286904036998749
-199.0,199,0,-0.5255476832389832
-200.0,200,0,-0.5692774057388306
-200.0,200,0,-0.47983190417289734
-200.0,200,0,-0.5760654807090759
-200.0,200,0,-0.5270161032676697
-200.0,200,0,-0.40831416845321655
-200.0,200,0,-0.40090709924697876
-169.0,169,0,-0.44557902216911316
-200.0,200,0,-0.5378077030181885
-200.0,200,0,-0.4624669849872589
-200.0,200,0,-0.4589187204837799
-200.0,200,0,-0.5224316716194153
-200.0,200,0,-0.47182226181030273
-200.0,200,0,-0.597854495048523
-200.0,200,0,-0.5581884980201721
-200.0,200,0,-0.4949823319911957
-200.0,200,0,-0.5672497153282166
-200.0,200,0,-0.5668186545372009
-141.0,141,0,-0.43273913860321045
-200.0,200,0,-0.40217339992523193
-200.0,200,0,-0.4888061285018921
-128.0,128,0,-0.4321860671043396
-200.0,200,0,-0.4019356667995453
-200.0,200,0,-0.5716808438301086
-200.0,200,0,-0.5103508830070496
-200.0,200,0,-0.521485447883606
-200.0,200,0,-0.5839901566505432
-200.0,200,0,-0.4489339590072632
-140.0,140,0,-0.5132442116737366
-200.0,200,0,-0.5061346292495728
-200.0,200,0,-0.5698654055595398
-200.0,200,0,-0.563814640045166
-118.0,118,0,-0.4185792803764343
-200.0,200,0,-0.5910701751708984
-131.0,131,0,-0.5534295439720154
-200.0,200,0,-0.5415881276130676
-170.0,170,0,-0.5019605159759521
-200.0,200,0,-0.48271095752716064
-160.0,160,0,-0.5013419985771179
