reward,episode_length,success,final_position,max_position
-200.0,200,0,-0.6392939686775208,-0.3958550989627838
-200.0,200,0,-0.4517121911048889,-0.41129350662231445
-200.0,200,0,-0.5967888236045837,-0.44998687505722046
-200.0,200,0,-0.552168607711792,-0.43853238224983215
-200.0,200,0,-0.4618559181690216,-0.4151856005191803
-200.0,200,0,-0.3617742955684662,-0.3617742955684662
-200.0,200,0,-0.326355516910553,-0.326355516910553
-200.0,200,0,-0.6585044264793396,-0.31813308596611023
-200.0,200,0,-0.5205974578857422,-0.4059155285358429
-200.0,200,0,-0.3886038661003113,-0.3886038661003113
-200.0,200,0,-0.5004522800445557,-0.32009971141815186
-200.0,200,0,-0.704933762550354,-0.36205244064331055
-200.0,200,0,-0.37638068199157715,-0.36671826243400574
-200.0,200,0,-0.559568464756012,-0.33365926146507263
-200.0,200,0,-0.464711457490921,-0.45442235469818115
-200.0,200,0,-0.7292599678039551,-0.34836992621421814
-200.0,200,0,-0.6901827454566956,-0.39310574531555176
-200.0,200,0,-0.6570040583610535,-0.4241859018802643
-200.0,200,0,-0.5069161057472229,-0.41386207938194275
-200.0,200,0,-0.4801112413406372,-0.4087519347667694
-200.0,200,0,-0.5252715945243835,-0.3487390875816345
-200.0,200,0,-0.5326152443885803,-0.3220103085041046
-200.0,200,0,-0.6270602345466614,-0.3205066919326782
-200.0,200,0,-0.6212857961654663,-0.42934390902519226
-200.0,200,0,-0.4874145984649658,-0.4429493844509125
-200.0,200,0,-0.41063907742500305,-0.39795827865600586
-200.0,200,0,-0.4350382685661316,-0.30245018005371094
-200.0,200,0,-0.5888529419898987,-0.43110987544059753
-200.0,200,0,-0.5599966645240784,-0.4466477930545807
-200.0,200,0,-0.5439392924308777,-0.44453495740890503
-200.0,200,0,-0.6801552176475525,-0.3682665228843689
-200.0,200,0,-0.5383672118186951,-0.3346225917339325
-200.0,200,0,-0.612010657787323,-0.39304038882255554
-200.0,200,0,-0.30940940976142883,-0.30940940976142883
-200.0,200,0,-0.34673699736595154,-0.25301018357276917
-200.0,200,0,-0.5629968643188477,-0.3925558626651764
-200.0,200,0,-0.5596126317977905,-0.46442076563835144
-200.0,200,0,-0.5164057612419128,-0.4283635914325714
-200.0,200,0,-0.5994512438774109,-0.3987351357936859
-200.0,200,0,-0.5330301523208618,-0.46865683794021606
-200.0,200,0,-0.5342918634414673,-0.3915175795555115
-200.0,200,0,-0.3948732018470764,-0.3948732018470764
-200.0,200,0,-0.4199502766132355,-0.33708176016807556
-200.0,200,0,-0.5722705721855164,-0.3441805839538574
-200.0,200,0,-0.4992539584636688,-0.3921714425086975
-200.0,200,0,-0.6023213863372803,-0.3737329840660095
-200.0,200,0,-0.3201133608818054,-0.2797343134880066
-200.0,200,0,-0.6937524676322937,-0.32202669978141785
-200.0,200,0,-0.6535933017730713,-0.441333144903183
-200.0,200,0,-0.4216102957725525,-0.4167747497558594
-200.0,200,0,-0.6305751800537109,-0.3536352217197418
-200.0,200,0,-0.4668787121772766,-0.45359596610069275
-200.0,200,0,-0.3388582468032837,-0.3314582407474518
-200.0,200,0,-0.7745051383972168,-0.22290703654289246
-200.0,200,0,-0.6317055225372314,-0.3209882974624634
-200.0,200,0,-0.43292826414108276,-0.41299960017204285
-200.0,200,0,-0.42225736379623413,-0.3810870051383972
-200.0,200,0,-0.5426926612854004,-0.402312308549881
-200.0,200,0,-0.5964865684509277,-0.33907362818717957
-200.0,200,0,-0.4580531716346741,-0.3291410803794861
-200.0,200,0,-0.5640172362327576,-0.44416630268096924
-200.0,200,0,-0.5245240330696106,-0.41026967763900757
-200.0,200,0,-0.3388747274875641,-0.24278299510478973
-200.0,200,0,-0.5521407127380371,-0.43845099210739136
-200.0,200,0,-0.624116063117981,-0.3171990215778351
-200.0,200,0,-0.5784836411476135,-0.47727257013320923
-200.0,200,0,-0.41218286752700806,-0.3963782787322998
-200.0,200,0,-0.4488403797149658,-0.42171356081962585
-200.0,200,0,-0.5214475989341736,-0.45925116539001465
-200.0,200,0,-0.4023821949958801,-0.3954335153102875
-200.0,200,0,-0.41111668944358826,-0.265966534614563
-200.0,200,0,-0.4953934848308563,-0.40961939096450806
-200.0,200,0,-0.5292242169380188,-0.39091408252716064
-200.0,200,0,-0.5002057552337646,-0.3619040250778198
-200.0,200,0,-0.5789443850517273,-0.4156438708305359
-200.0,200,0,-0.43449074029922485,-0.42770981788635254
